IPN,Part Number,Description,Value,Symbol,Symbol Revision,Footprint,Footprint Revision,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Series,Type,Inductance,Tolerance,Ir,Isat,DCR,SRF,Q,Package,Mounting Height,Core,Shielded,TempRange,Lifecycle,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_L-????,L1210_1uH_3.8A_±20%_32mOhm,FIXED IND 1UH 3.8A 32 MOHM SMD,1uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-1R0M-P2/9815912,,,,,DFE322512F,"Drum Core, Wirewound",1 µH,±20%,3.8 A,4.8A,32mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
IPN_L-????,L1210_470nH_4.8A_±20%_23mOhm,FIXED IND 4.8A 23 MOHM SMD,470nH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-R47M-P2/9815918,,,,,DFE322512F,"Drum Core, Wirewound",470 nH,±20%,4.8 A,6.7A,23mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,Inductance inferred from MPN code (missing in source data),0.39,,,,,,
IPN_L-????,L1210_3.3uH_2A_±20%_108mOhm,FIXED IND 3.3UH 2A 108 MOHM SMD,3.3uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-3R3M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-3R3M-P2/9815915,,,,,DFE322512F,"Drum Core, Wirewound",3.3 µH,±20%,2 A,2.6A,108mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
IPN_L-????,L1210_1.5uH_3A_±20%_48mOhm,FIXED IND 1.5UH 3A 48 MOHM SMD,1.5uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-1R5M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-1R5M-P2/9815913,,,,,DFE322512F,"Drum Core, Wirewound",1.5 µH,±20%,3 A,3.9A,48mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
IPN_L-????,L1210_330nH_5.4A_±20%_20mOhm,FIXED IND 330NH 5.4A 20 MOHM SMD,330nH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-R33M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-R33M-P2/11690446,,,,,DFE322512F,"Drum Core, Wirewound",330 nH,±20%,5.4 A,8.5A,20mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
IPN_L-????,L0806_1uH_2.4A_±20%_68mOhm,FIXED IND 1UH 2.4A 68 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE2MCAH1R0MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2MCAH1R0MJ0L/10135186,,,,,DFE2M,"Drum Core, Wirewound",1 µH,±20%,2.4 A,2.5A,68mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9107_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.46,,,,,,
IPN_L-????,L0806_470nH_3.5A_±20%_33mOhm,FIXED IND 470NH 3.5A 33 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE2MCAHR47MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2MCAHR47MJ0L/10135192,,,,,DFE2M,"Drum Core, Wirewound",470 nH,±20%,3.5 A,3.6A,33mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9107_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.46,,,,,,
IPN_L-????,L0806_240nH_4.2A_±20%_25mOhm,FIXED IND 240NH 4.2A 25 MOHM SMD,240nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE2MCAHR24MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2MCAHR24MJ0L/10135190,,,,,DFE2M,"Drum Core, Wirewound",240 nH,±20%,4.2 A,5A,25mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9107_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.46,,,,,,
IPN_L-????,L1008_470nH_4.5A_±20%_25mOhm,FIXED IND 470NH 4.5A 25 MOHM SMD,470nH,Inductor:L,1,Inductors:L_1008_2520Metric,1,Murata Electronics,DFE2HCAHR47MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2HCAHR47MJ0L/10135184,,,,,DFE2H,"Drum Core, Wirewound",470 nH,±20%,4.5 A,5.1A,25mOhm Max,,,1008,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9105_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.49,,,,,,
IPN_L-????,L1210_1.5uH_4A_±20%_29mOhm,FIXED IND 1.5UH 4A 29 MOHM SMD,1.5uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322520F-1R5M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322520F-1R5M-P2/16892648,,,,,DFE322520F,Wirewound,1.5 µH,±20%,4 A,5.2A,29mOhm Max,,,1210,"0.079"" (2.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0040_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.5,,,,,,
IPN_L-????,L1210_470nH_6A_±20%_16mOhm,FIXED IND 470NH 6A 16 MOHM SMD,470nH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322520F-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322520F-R47M-P2/16892639,,,,,DFE322520F,Wirewound,470 nH,±20%,6 A,8.5A,16mOhm Max,,,1210,"0.079"" (2.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0040_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.5,,,,,,
IPN_L-????,L1008_1.5uH_2.3A_±20%_74mOhm,FIXED IND 1.5UH 2.3A 74 MOHM SMD,1.5uH,Inductor:L,1,Inductors:L_1008_2520Metric,1,Murata Electronics,DFE2HCAH1R5MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2HCAH1R5MJ0L/10135181,,,,,DFE2H,"Drum Core, Wirewound",1.5 µH,±20%,2.3 A,2.9A,74mOhm Max,,,1008,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9105_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.52,,,,,,
IPN_L-????,L1210_10uH_1.4A_±20%_210mOhm,FIXED INDUCTOR 10UH 1210,10uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE32CAH100MR0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE32CAH100MR0L/28738943,,,,,DFE32CAH_R0,Wirewound,10 µH,±20%,1.4 A,1.8A,210mOhm Max,,,1210,"0.079"" (2.00mm)",Metal,Unshielded,-55°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9108_PDF_INDUCTOR?lastModifiedDatetime=20251113142359,AMR,06/09/2026,,,1,,0.91,,,,,,
IPN_L-????,L0806_1.5uH_2.7A_±20%_95mOhm,FIXED IND 1.5UH 2.7A 95 MOHM SMD,1.5uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612P-1R5M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612P-1R5M-P2/5247230,,,,,DFE201612P,"Drum Core, Wirewound",1.5 µH,±20%,2.7 A,,95mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0033_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0805_2.2uH_1.4A_±20%_200mOhm,FIXED IND 2.2UH 1.4A 200 MOHM,2.2uH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE2016CKA-2R2M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE2016CKA-2R2M-P2/18881010,,,,,DFE18SBN,Wirewound,2.2 µH,±20%,1.4 A,1.4A,200mOhm Max,,,805,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0043_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.25,,,,,,
IPN_L-????,L0805_1uH_1.8A_±20%_100mOhm,FIXED IND 1UH 1.8A 100 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE2016CKA-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE2016CKA-1R0M-P2/18881014,,,,,DFE18SBN,Wirewound,1 µH,±20%,1.8 A,1.8A,100mOhm Max,,,805,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0043_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.25,,,,,,
IPN_L-????,L0805_330nH_4.6A_±20%_23mOhm,FIXED IND 330NH 4.6A 23 MOHM SMD,330nH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE21CCNR33MELL,https://www.digikey.es/en/products/detail/murata-electronics/DFE21CCNR33MELL/16892652,,,,,DFE21CCN_EL,Wirewound,330 nH,±20%,4.6 A,5.4A,23mOhm Max,,,805,"0.031"" (0.80mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-0052_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.28,,,,,,
IPN_L-????,L0806_330nH_3.8A_±20%_26mOhm,FIXED IND 330NH 3.8A 26 MOHM SMD,330nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-R33M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-R33M-P2/9559550,,,,,DFE201612P,"Drum Core, Wirewound",330 nH,±20%,3.8 A,4.5A,26mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.38,,,,,,
IPN_L-????,L0806_1.5uH_1.8A_±20%_109mOhm,FIXED IND 1.5UH 1.8A 109 MOHM,1.5uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE2MCAH1R5MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2MCAH1R5MJ0L/10135187,,,,,DFE2M,"Drum Core, Wirewound",1.5 µH,±20%,1.8 A,2.1A,109mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9107_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.46,,,,,,
IPN_L-????,L0806_150nH_4.8A_±20%_21mOhm,FIXED IND 150NH 4.8A 21 MOHM SMD,150nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE2MCAHR15MJ0L,https://www.digikey.es/en/products/detail/murata-electronics/DFE2MCAHR15MJ0L/10135189,,,,,DFE2M,"Drum Core, Wirewound",150 nH,±20%,4.8 A,6.1A,21mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 150°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-9107_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.46,,,,,,
